anio,mes,Precio_Promedio_kg
2018,1,322.73
2018,2,333.68
2018,3,315.26
2018,4,361.9
2018,5,408.18
2018,6,370.0
2018,7,363.18
2018,8,355.65
2018,9,375.5
2018,10,319.13
2018,11,293.16
2018,12,307.0
2019,1,296.82
2019,2,277.89
2019,3,281.0
2019,4,405.0
2019,5,527.73
2019,6,584.5
2019,7,645.65
2019,8,463.64
2019,9,447.0
2019,10,322.17
2019,11,280.75
2019,12,281.9
2020,1,290.0
2020,2,302.63
2020,3,391.18
2020,4,459.0
2020,5,502.94
2020,6,456.97
2020,7,411.0
2020,8,384.76
2020,9,328.1
2020,10,293.18
2020,11,272.11
2020,12,221.43
2021,1,208.715
2021,2,196.0
2021,3,279.55
2021,4,419.5
2021,5,437.5
2021,6,421.36
2021,7,456.82
2021,8,563.64
2021,9,437.62
2021,10,395.71
2021,11,383.75
2021,12,390.0
2022,1,419.44
2022,2,530.53
2022,3,646.82
2022,4,752.11
2022,5,855.0
2022,6,791.7850000000001
2022,7,728.57
2022,8,467.39
2022,9,399.05
2022,10,328.1
2022,11,300.5
2022,12,303.18
2023,1,296.36
2023,2,314.21
2023,3,347.22
2023,4,423.33
2023,5,435.71
2023,6,498.18
2023,7,627.14
2023,8,509.13
2023,9,429.05
2023,10,437.27
2023,11,406.0
2023,12,352.5
2024,1,347.73
2024,2,310.0
2024,3,313.89
2024,4,361.36
2024,5,470.0
2024,6,532.73
2024,7,818.67
2024,8,763.18
2024,9,770.5
2024,10,539.09
2024,11,489.5
2024,12,454.76
2025,1,534.09
2025,2,559.47
2025,3,556.0
2025,4,557.0
2025,5,565.5
2025,6,661.43
2025,7,587.39
2025,8,496.19
2025,9,385.71
2025,10,375.65
2025,11,341.58
2025,12,341.36
2026,1,329.05
2026,2,324.74
2026,3,309.52
2026,4,305.56
