Estado,Superficie_miles_Ha,Volumen_miles_Ton,Valor_millones_MXN,Anio
Michoacán,78.62738,820.22382,4505.38404147,2001
Baja California,0.021,0.0494,0.2964,2001
Sinaloa,0.009,0.0,0.0,2001
Michoacán,81.89525,792.6589,3608.52063664,2002
Estado de México,1.426,11.28,55.175953799999995,2002
Morelos,0.9891,9.97076,46.35965239,2002
Baja California,0.036,0.0425,0.3485,2002
Oaxaca,0.036,0.242,1.694,2002
Sinaloa,0.009,0.0195,0.0585,2002
Michoacán,82.523,800.4520799999999,4869.582758850001,2003
Morelos,2.0467,19.920099999999998,89.46498,2003
Estado de México,1.411,10.231,58.286,2003
Guerrero,0.077,0.308,1.54,2003
Baja California,0.045,0.04653,0.302445,2003
Oaxaca,0.036,0.25,1.625,2003
Nayarit,0.0065,0.03005,0.1526,2003
Michoacán,86.54632000000001,864.06947,5529.08163796,2004
Morelos,2.5024,30.947599999999998,184.9928,2004
Estado de México,1.414,17.854,81.65,2004
Guerrero,0.088,0.605,2.598,2004
Baja California,0.038,0.016030000000000003,0.11221,2004
Oaxaca,0.036,0.215,2.15,2004
Nayarit,0.0045,0.02225,0.228,2004
Michoacán,95.22282000000001,895.09795,6963.7488107,2005
Morelos,2.5573,25.9441,176.9316,2005
Estado de México,1.645,17.6865,102.0428,2005
Jalisco,1.2478,4.93021,35.01597208,2005
Puebla,0.70875,6.7945,43.313,2005
Oaxaca,0.135,0.687,6.446,2005
Guerrero,0.088,0.605,7.59,2005
Guanajuato,0.08,0.306,1.4805,2005
Chiapas,0.0645,0.0,0.0,2005
Baja California,0.036,0.0344,0.26241194,2005
Colima,0.024,0.213,1.314,2005
Sonora,0.02,0.25,0.6375,2005
Nayarit,0.0045,0.0287,0.1862,2005
Michoacán,96.76432000000001,1003.44992,8385.89346448,2006
Morelos,2.1393,23.0891,195.10018,2006
Estado de México,1.77925,18.4239,114.84924,2006
Jalisco,1.52323,6.102600000000001,46.29232,2006
Guerrero,0.969,3.7205,33.29515,2006
Puebla,0.52876,4.1815500000000005,31.151475,2006
Chiapas,0.237,0.0,0.0,2006
Oaxaca,0.23,0.8756799999999999,9.45952,2006
Hidalgo,0.149,0.853,5.218,2006
Zacatecas,0.049,0.311,1.511,2006
Baja California,0.048,0.053,0.46488984,2006
Sonora,0.033,0.4125,1.2375,2006
Colima,0.027,0.278,2.422,2006
Guanajuato,0.02,0.008,0.024,2006
Sinaloa,0.006,0.056,0.28,2006
Nayarit,0.0045,0.02725,0.1795,2006
Michoacán,98.46274000000001,1006.059,11025.767144200001,2007
Morelos,2.1393,22.374599999999997,253.0274,2007
Jalisco,2.01235,9.37755,93.504405,2007
Estado de México,1.8265,17.1278,159.76690852000002,2007
Guerrero,0.983,6.7715,80.456,2007
Puebla,0.5735,4.8480099999999995,29.863485,2007
Oaxaca,0.216,0.8749600000000001,6.45116,2007
Colima,0.0955,0.961,6.07824053,2007
Hidalgo,0.092,0.464,2.94,2007
Veracruz,0.076,1.445,11.71,2007
Nayarit,0.06925,0.536,3.1695,2007
Chiapas,0.0645,0.0,0.0,2007
Baja California,0.048,0.07106,0.672435,2007
Zacatecas,0.043,0.3038,1.2792,2007
Sonora,0.023,0.276,0.828,2007
Guanajuato,0.018600000000000002,0.1024,0.3831,2007
Michoacán,103.6286,1024.58225,11439.17551,2008
Nayarit,2.16401,22.962169999999997,137.140065,2008
Jalisco,2.08465,10.45551,116.3921412,2008
Estado de México,1.9065,20.603450000000002,188.94579,2008
Morelos,1.902,17.497,200.8624,2008
Guerrero,1.144,5.8656999999999995,53.94815,2008
Puebla,0.507,3.55,28.004,2008
Chiapas,0.24,0.08813,0.980074,2008
Oaxaca,0.216,1.24996,10.3351484,2008
Colima,0.0955,0.968,6.033,2008
Veracruz,0.076,1.199,9.592,2008
Zacatecas,0.065,0.3565,2.62375,2008
Baja California,0.048,0.0729,0.7086,2008
Sonora,0.027,0.351,1.5795,2008
Guanajuato,0.0176,0.056,0.364,2008
Hidalgo,0.01,0.045,0.324,2008
Michoacán,106.2217,1081.9036899999999,13857.357465,2009
Jalisco,5.2424,14.30883,178.98177499000002,2009
Estado de México,2.4655,20.608240000000002,223.3852005,2009
Nayarit,2.16401,22.326610000000002,145.17058301,2009
Morelos,2.15,21.2,191.711,2009
Guerrero,1.1555,6.871,59.5262,2009
Durango,0.932,3.0932,35.80556,2009
Puebla,0.487,3.2835,34.2398,2009
Chiapas,0.243,0.33102,3.77724,2009
Oaxaca,0.217,0.9,8.3175,2009
Querétaro,0.093,0.2879,1.588375,2009
Zacatecas,0.068,0.42,2.1,2009
Colima,0.06714,0.6839,5.3962,2009
Baja California,0.037,0.072,0.7752,2009
Sonora,0.027,0.3465,1.48995,2009
Sinaloa,0.018,0.203,1.8539,2009
Hidalgo,0.01,0.05,0.25,2009
Guanajuato,0.007,0.028,0.224,2009
Michoacán,107.05757000000001,950.9423200000001,12640.768396200001,2010
Jalisco,8.31325,28.684169999999998,358.28150125999997,2010
Estado de México,3.51475,20.56857,304.494793,2010
Morelos,2.6014,21.24223,244.27763140000002,2010
Nayarit,2.16901,21.489009999999997,170.124908,2010
