anio,mes,Precio_Promedio_kg
2001,1,13.18
2001,2,13.02
2001,3,13.03
2001,4,13.35
2001,5,14.98
2001,6,15.19
2001,7,13.79
2001,8,12.95
2001,9,11.15
2001,10,9.27
2001,11,8.09
2001,12,7.51
2002,1,7.32
2002,2,7.24
2002,3,7.64
2002,4,8.13
2002,5,8.07
2002,6,9.0
2002,7,13.14
2002,8,13.44
2002,9,13.27
2002,10,11.25
2002,11,10.3
2002,12,10.01
2003,1,10.28
2003,2,10.3
2003,3,10.24
2003,4,10.77
2003,5,14.94
2003,6,15.7
2003,7,14.82
2003,8,14.99
2003,9,13.88
2003,10,12.25
2003,11,10.81
2003,12,10.27
2004,1,10.0
2004,2,9.57
2004,3,10.12
2004,4,11.78
2004,5,12.89
2004,6,12.8
2004,7,12.54
2004,8,14.81
2004,9,14.32
2004,10,12.65
2004,11,11.56
2004,12,10.97
2005,1,11.27
2005,2,11.67
2005,3,13.24
2005,4,16.66
2005,5,16.6
2005,6,17.97
2005,7,23.97
2005,8,20.63
2005,9,17.79
2005,10,14.73
2005,11,12.49
2005,12,11.51
2006,1,12.17
2006,2,12.44
2006,3,13.44
2006,4,15.5
2006,5,17.38
2006,6,17.61
2006,7,19.08
2006,8,23.55
2006,9,20.57
2006,10,15.69
2006,11,13.98
2006,12,13.14
2007,1,13.16
2007,2,13.39
2007,3,14.43
2007,4,16.52
2007,5,18.59
2007,6,21.9
2007,7,24.52
2007,8,27.17
2007,9,22.62
2007,10,18.22
2007,11,17.06
2007,12,17.09
2008,1,18.09
2008,2,18.53
2008,3,20.04
2008,4,21.9
2008,5,22.76
2008,6,25.7
2008,7,27.32
2008,8,28.1
2008,9,24.83
2008,10,21.34
2008,11,18.68
2008,12,17.26
2009,1,17.57
2009,2,17.29
2009,3,18.45
2009,4,21.76
2009,5,25.33
2009,6,28.13
2009,7,34.61
2009,8,31.65
2009,9,25.17
2009,10,20.52
2009,11,18.69
2009,12,17.94
2010,1,18.75
2010,2,19.35
2010,3,19.89
2010,4,22.43
2010,5,23.67
2010,6,25.41
2010,7,28.43
2010,8,29.65
2010,9,30.05
2010,10,25.67
2010,11,22.22
2010,12,21.72
2011,1,22.72
2011,2,23.48
2011,3,28.92
2011,4,33.45
2011,5,37.52
2011,6,42.03
2011,7,48.98
2011,8,44.98
2011,9,30.6
2011,10,23.4
2011,11,21.26
2011,12,20.48
2012,1,21.2
2012,2,21.21
2012,3,22.57
2012,4,25.16
2012,5,27.3
2012,6,27.78
2012,7,27.48
2012,8,27.38
2012,9,22.82
2012,10,20.18
2012,11,18.85
2012,12,17.41
2013,1,17.3
2013,2,16.06
2013,3,16.52
2013,4,19.48
2013,5,21.12
2013,6,26.53
2013,7,32.93
2013,8,35.58
2013,9,29.55
2013,10,25.01
2013,11,22.34
2013,12,21.13
2014,1,21.51
2014,2,21.82
2014,3,24.0
2014,4,28.33
2014,5,32.99
2014,6,32.53
2014,7,32.15
2014,8,31.47
2014,9,27.65
2014,10,24.3
2014,11,22.04
2014,12,21.09
2015,1,21.65
2015,2,21.76
2015,3,23.02
2015,4,26.62
2015,5,27.67
2015,6,27.47
2015,7,29.03
2015,8,28.43
2015,9,24.83
2015,10,21.99
2015,11,20.23
2015,12,19.82
2016,1,20.31
2016,2,20.94
2016,3,20.58
2016,4,21.63
2016,5,26.8
2016,6,40.02
2016,7,47.74
2016,8,39.53
2016,9,37.54
2016,10,35.9
2016,11,35.45
2016,12,33.28
2017,1,33.1
2017,2,33.47
2017,3,37.93
2017,4,44.57
2017,5,54.12
2017,6,57.0
2017,7,58.41
2017,8,53.5
2017,9,49.1
2017,10,44.35
2017,11,38.9
2017,12,36.28
2018,1,35.43
2018,2,35.03
2018,3,34.78
2018,4,38.32
2018,5,40.84
2018,6,40.04
2018,7,41.71
2018,8,45.14
2018,9,43.16
2018,10,38.81
2018,11,37.4
2018,12,36.31
2019,1,34.46
2019,2,31.73
2019,3,30.99
2019,4,39.94
2019,5,54.67
2019,6,65.01
2019,7,73.48
2019,8,61.62
2019,9,56.22
2019,10,46.37
2019,11,39.62
2019,12,35.79
2020,1,35.67
2020,2,35.67
2020,3,41.72
2020,4,45.38
2020,5,47.82
2020,6,46.52
2020,7,45.22
2020,8,46.45
2020,9,42.5
2020,10,39.46
2020,11,35.5
2020,12,32.02
2021,1,33.59
2021,2,31.4
2021,3,34.24
2021,4,43.0
2021,5,46.33
2021,6,48.4
2021,7,50.66
2021,8,59.88
2021,9,57.81
2021,10,53.37
2021,11,49.54
2021,12,49.43
2022,1,54.09
2022,2,57.82
2022,3,66.61
2022,4,75.73
2022,5,88.56
2022,6,92.05
2022,7,93.1
2022,8,75.02
2022,9,64.13
2022,10,52.41
2022,11,45.64
2022,12,43.33
2023,1,42.22
2023,2,39.63
2023,3,42.5
2023,4,46.24
2023,5,46.41
2023,6,50.18
2023,7,65.99
2023,8,66.03
2023,9,60.63
2023,10,55.02
2023,11,50.3
2023,12,46.5
2024,1,46.43
2024,2,44.84
2024,3,44.92
2024,4,52.24
2024,5,57.91
2024,6,69.3
2024,7,82.57
2024,8,80.74
2024,9,77.2
2024,10,70.24
2024,11,63.49
2024,12,63.81
2025,1,63.55
2025,2,64.76
2025,3,66.98
2025,4,71.84
2025,5,79.2
2025,6,77.04
2025,7,72.08
2025,8,67.98
2025,9,61.09
2025,10,50.21
2025,11,48.27
2025,12,46.74
2026,1,43.52
2026,2,41.99
2026,3,44.65
2026,4,46.32
